label,teamlabel,bpLabel,height,number
Alessandro Lucarelli,A.C. Siena,Livorno,1.82,2
Alessandro Longhi (footballer),Italy Lega Pro representative teams,Desenzano del Garda,1.85,3
Aleksandr Pavlenko,FC Rostov,"Pokrov, Dnipropetrovsk Oblast",1.75,8
Aleksander Ptak,GKS Bełchatów,Poland,1.86,30
Alessandro Marchi,A.C. Rimini 1912,Italy,1.79,14
Alex Jakubiak,Scotland national under-19 football team,City of Westminster,1.77,45
Aleksei Gladyshev,FC Sibir Novosibirsk,Russia,1.8,55
Aleksandr Scherbakov,FC Ural Sverdlovsk Oblast,Russia,1.75,90
Anton Zabolotny,FC Metallurg Lipetsk,Russian SFSR,1.88,17
Artsyom Salavey,FC Torpedo Zhodino,Byaroza District,1.7,15
Bryan Jones Anicézio,Guarani Futebol Clube,Brazil,1.8,9
Ali Diab,Shanghai Shenhua F.C.,Syria,1.86,2
Asmir Avdukić,FK Radnik Bijeljina,"Breza, Bosnia and Herzegovina",1.9,13
Armando Sadiku,FC Locarno,Albania,1.86,11
Artsyom Vaskow,FC Torpedo-BelAZ Zhodino,Belarus,1.65,19
Benjamin Fuß,FSV Zwickau,Bad Salzungen,1.82,TBA
Benjamin Siegrist,Cambridge United F.C.,Therwil,1.94,22
Barry Rice (soccer),D.C. United,United States,1.8,21
Ben May,Scunthorpe United F.C.,"Gravesend, Kent",1.8542,9
Brecht Verbrugghe,K.S.V. Roeselare,Belgium,1.82,17
Arne Feick,1. FC Heidenheim,West Berlin,1.77,28
Bohdan Butko,FC Shakhtar-3 Donetsk,Ukrainian SSR,1.8,2
Andreson Dourado Ribas,ŁKS Łódź,Brazil,1.84,18
Barry Johnston (footballer),Carrick Rangers F.C.,Dublin,1.8,14
Andrei Pavlenko,FC Spartak Tambov,East Germany,1.81,7
Andrija Balić,NK Dugopolje,Croatia,1.8,99
Andrew Redmayne,New South Wales Institute of Sport,Gosford,1.94,20
Blagoy Nakov,PFC Montana,Bulgaria,1.83,21
Balázs Venczel,Kaposvári Rákóczi FC,Hungary,1.82,6
Botond Király,Lombard-Pápa TFC,Hungary,1.82,31
Asparuh Vasilev,PFC Akademik Sofia,Bulgaria,1.82,22
Artūrs Karašausks,FB Gulbene,Latvia,1.78,11
"Andrés Pérez (footballer, born 1980)",Millonarios,Colombia,1.78,5
Andrey Stoev,FC Gandzasar Kapan,Bulgaria,1.87,3
Alireza Jahanbakhsh,AZ Alkmaar,Iran,1.8,7
Blagoy Makendzhiev,PFC Beroe Stara Zagora,Bulgaria,1.84,22
Anton del Rosario,Skyline College,California,1.8,4
Attila Fekete (footballer),Kecskeméti TE,Hungary,1.81,5
Bruno Piceno,Dorados de Sinaloa,California,1.63,77
Ariel Borysiuk,FC Volga Nizhny Novgorod,Poland,1.78,7
Artūrs Vaičulis,FK Kruoja Pakruojis,Riga,1.87,16
Arnaldo Villalba Benitez,Persiba Bantul,Paraguay,1.81,25
Arkadiusz Klimek,FHK Liepājas Metalurgs,Poland,1.8796,7
Artūrs Zjuzins,FC Baltika Kaliningrad,Latvia,1.82,77
Bas Dost,Sporting Clube de Portugal,Netherlands,1.96,28
André Danielsen,Viking FK,Norway,1.73,14
Bertrand Okafor,Atlantis FC,Nigeria,1.86,24
Asmir Kajević,FK BSK Borča,Rožaje,1.87,14
Alexandru Avramescu,CS Turnu Severin,Romania,1.84,8
Brimah Razak,Córdoba CF B,Accra,1.91,1
Boris Borisovich Rotenberg,FC Kuban Krasnodar,Soviet Union,1.89,28
Barry Corr,Cambridge United F.C.,"Newcastle, County Wicklow",1.91,9
Almir Turković,SK Vorwärts Steyr,Sarajevo,1.83,10
Brandon McDonald (soccer),Chainat Hornbill F.C.,"Glendale, Arizona",1.8542,6
Alexy Bosetti,France national under-19 football team,Nice,1.72,23
Biel Ribas,UCAM Murcia CF,"Palma, Majorca",1.87,1
Alexander Büttner,Netherlands national under-19 football team,Doetinchem,1.74,24
Avtandil Ebralidze,U.D. Oliveirense,Georgia (country),1.78,11
Asmir Misini,FK Inđija,Novi Sad,1.73,TBA
Augustine Williams (footballer),Portland Timbers 2,Freetown,1.88,80
Angelo Ogbonna,West Ham United F.C.,Cassino,1.91,21
Anucha Chuaysri,Chiangrai United F.C.,Thailand,1.68,7
Andrea Petagna,Italy national under-16 football team,Trieste,1.88,29
Anucha Munjarern,Thailand national futsal team,Thailand,1.83,33
Anucha Chaiyawong,Provincial Electricity Authority FC,Thailand,1.85,25
Andrea Rispoli,Parma F.C.,Cava de' Tirreni,1.87,3
Armend Alimi,FK Shkëndija,Kumanovo,1.8,5
Atli Danielsen,KÍ Klaksvík,Klaksvík,1.81,8
Birger Meling,Viking FK,Stavanger,1.74,25
